# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
1.19999040008e-06 	p                 	1.0132499097e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0134589901e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
2.63996505619e-06 	p                 	1.0132498013e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0137097914e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
4.36794459704e-06 	p                 	1.0132496712e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0140107805e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
6.44150571252e-06 	p                 	1.0132495154e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0143719976e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
8.92973776977e-06 	p                 	1.0132493285e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0148054900e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
1.19155270705e-05 	p                 	1.0132491049e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0153256829e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
1.54983886296e-05 	p                 	1.0132488373e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0159498821e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
1.97977608653e-05 	p                 	1.0132485180e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0166987719e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
2.49567412781e-05 	p                 	1.0132481377e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0175970517e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
3.11471343486e-05 	p                 	1.0132476868e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0186741499e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
3.8575237941e-05  	p                 	1.0132471550e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0199649969e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
4.74889622518e-05 	p                 	1.0132465333e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0215108328e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
5.81854314247e-05 	p                 	1.0132458158e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0233597533e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
7.10206446266e-05 	p                 	1.0132450033e+05	(4.6951922973e+00 1.1251699340e+00 1.8246297077e+00)	5	1.0255670053e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
8.64213168522e-05 	p                 	1.0132441104e+05	(4.6951897183e+00 1.1251670231e+00 1.6246228720e+00)	5	1.0281945981e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
0.000104900983155 	p                 	1.0132431740e+05	(4.6951872268e+00 1.1251675167e+00 1.4246193940e+00)	5	1.0313097938e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
0.000127076582718 	p                 	1.0132422670e+05	(4.6951872268e+00 1.1251675167e+00 1.4246193940e+00)	5	1.0349804879e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
0.000153689668853 	p                 	1.0132415125e+05	(4.6951872268e+00 1.1251675167e+00 1.4246193940e+00)	5	1.0392659593e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
0.000185621962467 	p                 	1.0132410908e+05	(4.6951782190e+00 1.1251582839e+00 1.4753886770e+00)	5	1.0441978449e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
0.000223940714803 	p                 	1.0132412264e+05	(4.6951782190e+00 1.1251582839e+00 1.4753886770e+00)	5	1.0497514972e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
0.000269901988382 	p                 	1.0132421250e+05	(4.6951782190e+00 1.1251582839e+00 1.4753886770e+00)	5	1.0557895559e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
0.000325035134736 	p                 	1.0132438428e+05	(4.6951782190e+00 1.1251582839e+00 1.4753886770e+00)	5	1.0619873961e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5
